individual_quintile,area_quintile,population,level,outcome,city_id
2,2,223792,sector,avg_pm10,bogota_2018
4,2,152645,sector,avg_pm10,bogota_2018
5,2,35656,sector,avg_pm10,bogota_2018
3,2,141638,sector,avg_pm10,bogota_2018
1,1,214156,sector,avg_pm10,bogota_2018
2,1,242048,sector,avg_pm10,bogota_2018
3,1,81695,sector,avg_pm10,bogota_2018
4,1,85292,sector,avg_pm10,bogota_2018
5,1,12678,sector,avg_pm10,bogota_2018
1,5,74529,sector,avg_pm10,bogota_2018
2,5,44504,sector,avg_pm10,bogota_2018
3,5,130599,sector,avg_pm10,bogota_2018
4,5,174876,sector,avg_pm10,bogota_2018
5,5,541061,sector,avg_pm10,bogota_2018
1,4,144104,sector,hrs_d_pm25_it1,bogota_2018
2,4,156263,sector,hrs_d_pm25_it1,bogota_2018
3,4,190355,sector,hrs_d_pm25_it1,bogota_2018
4,4,288958,sector,hrs_d_pm25_it1,bogota_2018
5,4,194398,sector,hrs_d_pm25_it1,bogota_2018
1,3,181263,sector,hrs_d_pm25_it1,bogota_2018
2,3,206579,sector,hrs_d_pm25_it1,bogota_2018
4,3,213686,sector,hrs_d_pm25_it1,bogota_2018
5,3,115637,sector,hrs_d_pm25_it1,bogota_2018
3,3,217275,sector,hrs_d_pm25_it1,bogota_2018
1,2,190662,sector,hrs_d_pm25_it1,bogota_2018
2,2,223500,sector,hrs_d_pm25_it1,bogota_2018
4,2,152407,sector,hrs_d_pm25_it1,bogota_2018
5,2,35494,sector,hrs_d_pm25_it1,bogota_2018
3,2,140890,sector,hrs_d_pm25_it1,bogota_2018
1,1,213707,sector,hrs_d_pm25_it1,bogota_2018
2,1,241565,sector,hrs_d_pm25_it1,bogota_2018
3,1,81241,sector,hrs_d_pm25_it1,bogota_2018
4,1,85192,sector,hrs_d_pm25_it1,bogota_2018
5,1,12621,sector,hrs_d_pm25_it1,bogota_2018
1,5,74529,sector,hrs_d_pm25_it1,bogota_2018
2,5,44504,sector,hrs_d_pm25_it1,bogota_2018
3,5,130599,sector,hrs_d_pm25_it1,bogota_2018
4,5,174876,sector,hrs_d_pm25_it1,bogota_2018
5,5,541061,sector,hrs_d_pm25_it1,bogota_2018
1,4,144104,sector,hrs_d_pm25_it2,bogota_2018
2,4,156263,sector,hrs_d_pm25_it2,bogota_2018
3,4,190355,sector,hrs_d_pm25_it2,bogota_2018
4,4,288958,sector,hrs_d_pm25_it2,bogota_2018
5,4,194398,sector,hrs_d_pm25_it2,bogota_2018
1,3,181263,sector,hrs_d_pm25_it2,bogota_2018
2,3,206579,sector,hrs_d_pm25_it2,bogota_2018
4,3,213686,sector,hrs_d_pm25_it2,bogota_2018
5,3,115637,sector,hrs_d_pm25_it2,bogota_2018
3,3,217275,sector,hrs_d_pm25_it2,bogota_2018
1,2,190662,sector,hrs_d_pm25_it2,bogota_2018
2,2,223500,sector,hrs_d_pm25_it2,bogota_2018
4,2,152407,sector,hrs_d_pm25_it2,bogota_2018
5,2,35494,sector,hrs_d_pm25_it2,bogota_2018
3,2,140890,sector,hrs_d_pm25_it2,bogota_2018
1,1,213707,sector,hrs_d_pm25_it2,bogota_2018
2,1,241565,sector,hrs_d_pm25_it2,bogota_2018
3,1,81241,sector,hrs_d_pm25_it2,bogota_2018
4,1,85192,sector,hrs_d_pm25_it2,bogota_2018
5,1,12621,sector,hrs_d_pm25_it2,bogota_2018
1,5,74529,sector,hrs_d_pm25_it2,bogota_2018
2,5,44504,sector,hrs_d_pm25_it2,bogota_2018
3,5,130599,sector,hrs_d_pm25_it2,bogota_2018
4,5,174876,sector,hrs_d_pm25_it2,bogota_2018
5,5,541061,sector,hrs_d_pm25_it2,bogota_2018
1,4,144104,sector,avg_pm25,bogota_2018
2,4,156263,sector,avg_pm25,bogota_2018
3,4,190355,sector,avg_pm25,bogota_2018
4,4,288958,sector,avg_pm25,bogota_2018
5,4,194398,sector,avg_pm25,bogota_2018
1,3,181263,sector,avg_pm25,bogota_2018
2,3,206579,sector,avg_pm25,bogota_2018
4,3,213686,sector,avg_pm25,bogota_2018
5,3,115637,sector,avg_pm25,bogota_2018
3,3,217275,sector,avg_pm25,bogota_2018
1,2,190662,sector,avg_pm25,bogota_2018
2,2,223500,sector,avg_pm25,bogota_2018
4,2,152407,sector,avg_pm25,bogota_2018
5,2,35494,sector,avg_pm25,bogota_2018
3,2,140890,sector,avg_pm25,bogota_2018
1,1,213707,sector,avg_pm25,bogota_2018
2,1,241565,sector,avg_pm25,bogota_2018
3,1,81241,sector,avg_pm25,bogota_2018
4,1,85192,sector,avg_pm25,bogota_2018
5,1,12621,sector,avg_pm25,bogota_2018
1,5,74529,sector,avg_pm25,bogota_2018
2,5,44504,sector,avg_pm25,bogota_2018
3,5,130599,sector,avg_pm25,bogota_2018
4,5,174876,sector,avg_pm25,bogota_2018
5,5,541061,sector,avg_pm25,bogota_2018
1,2,191616,localidad,hrs_d_pm10_it1,bogota_2018
2,2,303859,localidad,hrs_d_pm10_it1,bogota_2018
3,2,117470,localidad,hrs_d_pm10_it1,bogota_2018
4,2,173560,localidad,hrs_d_pm10_it1,bogota_2018
5,2,66875,localidad,hrs_d_pm10_it1,bogota_2018
1,3,204814,localidad,hrs_d_pm10_it1,bogota_2018
2,3,230768,localidad,hrs_d_pm10_it1,bogota_2018
3,3,198998,localidad,hrs_d_pm10_it1,bogota_2018
4,3,303074,localidad,hrs_d_pm10_it1,bogota_2018
5,3,129650,localidad,hrs_d_pm10_it1,bogota_2018
1,1,159769,localidad,hrs_d_pm10_it1,bogota_2018
2,1,212479,localidad,hrs_d_pm10_it1,bogota_2018
3,1,39961,localidad,hrs_d_pm10_it1,bogota_2018
4,1,108611,localidad,hrs_d_pm10_it1,bogota_2018
5,1,9451,localidad,hrs_d_pm10_it1,bogota_2018
1,4,70116,localidad,hrs_d_pm10_it1,bogota_2018
2,4,38454,localidad,hrs_d_pm10_it1,bogota_2018
3,4,110777,localidad,hrs_d_pm10_it1,bogota_2018
4,4,110894,localidad,hrs_d_pm10_it1,bogota_2018
5,4,100040,localidad,hrs_d_pm10_it1,bogota_2018
1,5,179088,localidad,hrs_d_pm10_it1,bogota_2018
2,5,87626,localidad,hrs_d_pm10_it1,bogota_2018
3,5,294356,localidad,hrs_d_pm10_it1,bogota_2018
4,5,219318,localidad,hrs_d_pm10_it1,bogota_2018
5,5,593414,localidad,hrs_d_pm10_it1,bogota_2018
