Area,Day,Hour,temp_2m,temp_850hPa,inversion,Inversion_dummy
Santiago,2023-01-17,4,284.13232,289.1565,5.02417,1
Santiago,2023-01-17,5,283.40643,288.91742,5.5109863,1
Santiago,2023-01-17,6,282.9887,288.73663,5.747925,1
Santiago,2023-01-17,7,282.48663,288.54605,6.0594177,1
Santiago,2023-01-17,8,282.43768,288.6372,6.199524,1
Santiago,2023-01-17,9,282.42834,288.71292,6.2845764,1
Santiago,2023-01-17,10,282.76654,288.40057,5.634033,1
Santiago,2023-01-17,11,283.75793,289.02252,5.2645874,1
Santiago,2023-01-17,12,285.29742,288.75708,3.4596558,1
Santiago,2023-01-17,13,286.72498,289.03302,2.3080444,1
Santiago,2023-01-17,14,288.25922,289.64148,1.3822632,1
Santiago,2023-01-17,15,289.20526,289.98593,0.78067017,1
Santiago,2023-01-17,16,290.59674,290.20807,-0.38867188,0
Santiago,2023-01-17,17,292.27997,290.4964,-1.7835693,0
Santiago,2023-01-17,18,292.0398,290.24234,-1.7974548,0
Santiago,2023-01-17,19,292.56873,290.45258,-2.11615,0
Santiago,2023-01-17,20,292.60413,289.80542,-2.798706,0
Santiago,2023-01-17,21,292.7624,290.2583,-2.5040894,0
Santiago,2023-01-17,22,291.6963,290.0926,-1.6036987,0
Santiago,2023-01-17,23,290.6836,290.14044,-0.54315186,0
Santiago,2023-01-18,0,288.89886,289.93536,1.036499,1
Santiago,2023-01-18,1,287.8863,290.1587,2.2724,1
Santiago,2023-01-18,2,286.50488,290.6502,4.1453247,1
Santiago,2023-01-18,3,285.4026,291.07263,5.670044,1
Santiago,2023-01-18,4,284.72644,291.51355,6.7871094,1
Santiago,2023-01-18,5,284.10156,291.86102,7.7594604,1
Santiago,2023-01-18,6,283.49396,292.07275,8.578796,1
Santiago,2023-01-18,7,282.86664,292.23187,9.365234,1
Santiago,2023-01-18,8,282.4602,292.41238,9.952179,1
Santiago,2023-01-18,9,282.0138,292.58478,10.570984,1
Santiago,2023-01-18,10,282.03375,292.66656,10.6328125,1
Santiago,2023-01-18,11,284.2611,292.64166,8.380554,1
Santiago,2023-01-18,12,288.4167,292.71484,4.2981567,1
Santiago,2023-01-18,13,290.7566,293.0504,2.2938232,1
Santiago,2023-01-18,14,292.1684,293.18073,1.0123291,1
Santiago,2023-01-18,15,293.95428,293.0165,-0.93777466,0
Santiago,2023-01-18,16,295.13385,293.07977,-2.0540771,0
Santiago,2023-01-18,17,296.13043,293.10922,-3.0212097,0
Santiago,2023-01-18,18,296.48114,293.2509,-3.2302551,0
Santiago,2023-01-18,19,296.7834,293.35266,-3.430725,0
Santiago,2023-01-18,20,296.73157,293.4132,-3.3183594,0
Santiago,2023-01-18,21,296.23315,293.2454,-2.9877625,0
